,arm_name,metric_name,mean,sem,trial_index
313,79_0,weight,0.7038753953577073,0.0,79
314,79_0,ram,0.6831780617660287,0.0,79
315,79_0,latency,0.6935982775687557,0.0,79
316,80_0,accuracy,0.8186968838526912,0.0,80
317,80_0,weight,0.49758562179541427,0.0,80
318,80_0,ram,0.567649025001185,0.0,80
319,80_0,latency,0.2002541887194453,0.0,80
320,81_0,accuracy,0.7582491582491583,0.0,81
321,81_0,weight,0.7283157954704628,0.0,81
322,81_0,ram,0.6967324790425065,0.0,81
323,81_0,latency,0.736422011643926,0.0,81
324,82_0,accuracy,0.7498660953401178,0.0,82
325,82_0,weight,0.6555284532166133,0.0,82
326,82_0,ram,0.6274803711954084,0.0,82
327,82_0,latency,0.4877373609333632,0.0,82
328,83_0,accuracy,0.8853146853146853,0.0,83
329,83_0,weight,0.7179337228387671,0.0,83
330,83_0,ram,0.7208877085860363,0.0,83
331,83_0,latency,0.6344529366556472,0.0,83
332,84_0,accuracy,0.6876053962900506,0.0,84
333,84_0,weight,0.6921670871802399,0.0,84
334,84_0,ram,0.6740981072781794,0.0,84
335,84_0,latency,0.6495291899006905,0.0,84
336,85_0,accuracy,0.75273390036452,0.0,85
337,85_0,weight,0.5940041342864177,0.0,85
338,85_0,ram,0.592037608409319,0.0,85
339,85_0,latency,0.4053494794995439,0.0,85
340,86_0,accuracy,0.790648988136776,0.0,86
341,86_0,weight,0.7383811846424488,0.0,86
342,86_0,ram,0.7161871081963679,0.0,86
343,86_0,latency,0.7346135502017493,0.0,86
344,87_0,accuracy,0.703030303030303,0.0,87
345,87_0,weight,0.7189482794502102,0.0,87
346,87_0,ram,0.6754087297344383,0.0,87
347,87_0,latency,0.6010565764171384,0.0,87
348,88_0,accuracy,0.8061911170928667,0.0,88
349,88_0,weight,0.6920350759060477,0.0,88
350,88_0,ram,0.6958581367618063,0.0,88
351,88_0,latency,0.6061990954111528,0.0,88
352,89_0,accuracy,0.7927807486631016,0.0,89
353,89_0,weight,0.6954246036048274,0.0,89
354,89_0,ram,0.6995471429996998,0.0,89
355,89_0,latency,0.6156597551504964,0.0,89
356,90_0,accuracy,0.7623828647925033,0.0,90
357,90_0,weight,0.7085701362861927,0.0,90
358,90_0,ram,0.6788943261315304,0.0,90
359,90_0,latency,0.6911758718382375,0.0,90
360,91_0,accuracy,0.7566433566433566,0.0,91
361,91_0,weight,0.7101209884712623,0.0,91
362,91_0,ram,0.6852107779680123,0.0,91
363,91_0,latency,0.7295077907219321,0.0,91
364,92_0,accuracy,0.6847757422615288,0.0,92
365,92_0,weight,0.651057856954155,0.0,92
366,92_0,ram,0.627204281774726,0.0,92
367,92_0,latency,0.5130129827994901,0.0,92
368,93_0,accuracy,0.8372365339578455,0.0,93
369,93_0,weight,0.42792621596663666,0.0,93
370,93_0,ram,0.47059671461388003,0.0,93
371,93_0,latency,0.1558439852881962,0.0,93
372,94_0,accuracy,0.7897227856659905,0.0,94
373,94_0,weight,0.7292495469726681,0.0,94
374,94_0,ram,0.728605115278538,0.0,94
375,94_0,latency,0.6550696328057073,0.0,94
376,95_0,accuracy,0.7926267281105991,0.0,95
377,95_0,weight,0.6709320701630378,0.0,95
378,95_0,ram,0.6359975086489582,0.0,95
379,95_0,latency,0.61190007543431,0.0,95
380,96_0,accuracy,0.7900146842878121,0.0,96
381,96_0,weight,0.7228218867634837,0.0,96
382,96_0,ram,0.7207265378191714,0.0,96
383,96_0,latency,0.6397319217492625,0.0,96
384,97_0,accuracy,0.7677224736048265,0.0,97
385,97_0,weight,0.7127216784602582,0.0,97
386,97_0,ram,0.6890548628056217,0.0,97
387,97_0,latency,0.7320889662768266,0.0,97
388,98_0,accuracy,0.7223845704266512,0.0,98
389,98_0,weight,0.6395427548985425,0.0,98
390,98_0,ram,0.6072471783981932,0.0,98
391,98_0,latency,0.4931551672270221,0.0,98
392,99_0,accuracy,0.7581300813008129,0.0,99
393,99_0,weight,0.715937167173543,0.0,99
394,99_0,ram,0.7089787257868482,0.0,99
395,99_0,latency,0.6523807375416558,0.0,99
396,100_0,accuracy,0.6613573407202216,0.0,100
397,100_0,weight,0.591457659479623,0.0,100
398,100_0,ram,0.5561153300621039,0.0,100
399,100_0,latency,0.45208701534072965,0.0,100
400,101_0,accuracy,0.754983922829582,0.0,101
401,101_0,weight,0.6837501981726151,0.0,101
402,101_0,ram,0.6804360365786541,0.0,101
403,101_0,latency,0.5720299167683971,0.0,101
404,102_0,accuracy,0.7595772787318362,0.0,102
405,102_0,weight,0.715897704495558,0.0,102
406,102_0,ram,0.6848063816433937,0.0,102
407,102_0,latency,0.6675703019150399,0.0,102
408,103_0,accuracy,0.7575471698113208,0.0,103
409,103_0,weight,0.6570785952252493,0.0,103
410,103_0,ram,0.6190185034988336,0.0,103
411,103_0,latency,0.5282593826761294,0.0,103
412,104_0,accuracy,0.6437797416723318,0.0,104
413,104_0,weight,0.7555511031464975,0.0,104
414,104_0,ram,0.7396244775551599,0.0,104
415,104_0,latency,0.7700760803316473,0.0,104
416,105_0,accuracy,0.7730870712401056,0.0,105
417,105_0,weight,0.5785728802304992,0.0,105
418,105_0,ram,0.6008843479871206,0.0,105
419,105_0,latency,0.3689854983109908,0.0,105
420,106_0,accuracy,0.7679944095038435,0.0,106
421,106_0,weight,0.6659474502624078,0.0,106
422,106_0,ram,0.6483165705740496,0.0,106
423,106_0,latency,0.5417644655790761,0.0,106
424,107_0,accuracy,0.7062750333778371,0.0,107
